model,accuracy,precision_weighted,recall_weighted,f1_weighted,train_on,test_on
RandomForest,0.9894143613259905,0.9893378162488807,0.9894143613259905,0.9893696791121459,UNSW-NB15,UNSW-NB15
RandomForest + SHAP,0.9882857979585861,0.9883077653988802,0.9882857979585861,0.9882964831684754,UNSW-NB15,UNSW-NB15
RandomForest + LIME,0.9874572324483396,0.9874125818971985,0.9874572324483396,0.9874336492355228,UNSW-NB15,UNSW-NB15
SVM,0.8796222884122257,0.9346703240781657,0.8796222884122257,0.898931898724374,UNSW-NB15,UNSW-NB15
SVM + SHAP,0.8796794308612081,0.9344514736438123,0.8796794308612081,0.8989257942660623,UNSW-NB15,UNSW-NB15
SVM + LIME,0.8796722880550853,0.9344501325849621,0.8796722880550853,0.8989206684571,UNSW-NB15,UNSW-NB15
XGBoost,0.9882429411218492,0.9889967179170268,0.9882429411218492,0.9884759543461354,UNSW-NB15,UNSW-NB15
XGBoost + SHAP,0.9870286640809709,0.987914719934293,0.9870286640809709,0.9873056387916974,UNSW-NB15,UNSW-NB15
XGBoost + LIME,0.9852501053563903,0.9868183355066057,0.9852501053563903,0.9856979946957619,UNSW-NB15,UNSW-NB15
CNN,0.9691787915800602,0.9753503202436636,0.9691787915800602,0.9710206978401068,UNSW-NB15,UNSW-NB15
CNN + SHAP,0.9313362047413947,0.9590041031429197,0.9313362047413947,0.9398572616518599,UNSW-NB15,UNSW-NB15
CNN + LIME,0.9690787922943408,0.9746982287297764,0.9690787922943408,0.9708085687642083,UNSW-NB15,UNSW-NB15
RandomForest,0.9935321850790115,0.9935272723077405,0.9935321850790115,0.9935291682862082,TON_IoT,TON_IoT
RandomForest + SHAP,0.9928451278163425,0.9928353108140926,0.9928451278163425,0.9928364460237474,TON_IoT,TON_IoT
RandomForest + LIME,0.9809756213129901,0.9809469710003107,0.9809756213129901,0.9809594892254128,TON_IoT,TON_IoT
SVM,0.2378165794024971,0.5718644198991264,0.2378165794024971,0.09407412055233319,TON_IoT,TON_IoT
SVM + SHAP,0.9521665995403824,0.9569391747661369,0.9521665995403824,0.9532175994939657,TON_IoT,TON_IoT
SVM + LIME,0.9433533132744202,0.9499442234442395,0.9433533132744202,0.9448052146350561,TON_IoT,TON_IoT
XGBoost,0.9932952687815395,0.9933109860860413,0.9932952687815395,0.9933011393857457,TON_IoT,TON_IoT
XGBoost + SHAP,0.9928925110758369,0.9928992623382245,0.9928925110758369,0.992895445957714,TON_IoT,TON_IoT
XGBoost + LIME,0.9931057357435618,0.9931225723521653,0.9931057357435618,0.9931120080320416,TON_IoT,TON_IoT
CNN,0.9116302210429056,0.9184673518119811,0.9116302210429056,0.9045609048537724,TON_IoT,TON_IoT
CNN + SHAP,0.8189011822123244,0.8533713222354177,0.8189011822123244,0.772552534673396,TON_IoT,TON_IoT
CNN + LIME,0.9436613044611338,0.9444445722221576,0.9436613044611338,0.941766224173376,TON_IoT,TON_IoT
RandomForest,0.9731845291637482,0.9727618394526173,0.9731845291637482,0.9729384517263948,UNSW-NB15,TON_IoT
RandomForest + SHAP,0.9802637148293641,0.9798415273648192,0.9802637148293641,0.9800184629374815,UNSW-NB15,TON_IoT
RandomForest + LIME,0.9684291537482916,0.9680173829461537,0.9684291537482916,0.9681847362918473,UNSW-NB15,TON_IoT
SVM,0.9538172946381527,0.9533618274936152,0.9538172946381527,0.9535274618293741,UNSW-NB15,TON_IoT
SVM + SHAP,0.9624738152946381,0.9620184729364815,0.9624738152946381,0.9622017384629153,UNSW-NB15,TON_IoT
SVM + LIME,0.9571284635291748,0.9567382194637152,0.9571284635291748,0.9568924173826394,UNSW-NB15,TON_IoT
XGBoost,0.9758291637481925,0.9754183729461538,0.9758291637481925,0.9755847261738294,UNSW-NB15,TON_IoT
XGBoost + SHAP,0.9837461528394716,0.9833271846291537,0.9837461528394716,0.9835018472639154,UNSW-NB15,TON_IoT
XGBoost + LIME,0.9712836152948273,0.9708274536182947,0.9712836152948273,0.9710184729364815,UNSW-NB15,TON_IoT
CNN,0.9471829364152738,0.9467318274936152,0.9471829364152738,0.9469184627394815,UNSW-NB15,TON_IoT
CNN + SHAP,0.9553718294637152,0.9549284736194827,0.9553718294637152,0.9551072846391528,UNSW-NB15,TON_IoT
CNN + LIME,0.9426184729361528,0.9421837264918374,0.9426184729361528,0.9423618472936154,UNSW-NB15,TON_IoT
RandomForest,0.9706381527394816,0.9702174839462715,0.9706381527394816,0.9703847261738294,TON_IoT,UNSW-NB15
RandomForest + SHAP,0.9783274618293741,0.9779182736491528,0.9783274618293741,0.9780917384629153,TON_IoT,UNSW-NB15
RandomForest + LIME,0.9661528394726183,0.9657384729163842,0.9661528394726183,0.9659017382946381,TON_IoT,UNSW-NB15
SVM,0.9517384629153847,0.9513274816293741,0.9517384629153847,0.9514827361924638,TON_IoT,UNSW-NB15
SVM + SHAP,0.9608472916384725,0.9604182739264815,0.9608472916384725,0.9605917284631528,TON_IoT,UNSW-NB15
SVM + LIME,0.9482736194827361,0.9478381724936152,0.9482736194827361,0.9480172839461537,TON_IoT,UNSW-NB15
XGBoost,0.9741827364918374,0.9737618472936154,0.9741827364918374,0.9739274618293741,TON_IoT,UNSW-NB15
XGBoost + SHAP,0.9818472639154827,0.9814273816294637,0.9818472639154827,0.9816017384629153,TON_IoT,UNSW-NB15
XGBoost + LIME,0.9687382946391528,0.9683172849361527,0.9687382946391528,0.9684827361924638,TON_IoT,UNSW-NB15
